rowid,answers,created_at,district,endDate,grade,headToHead,id,partisan,pollster,population,sampleSize,seat_name,startDate,state,subgroup,tracking,type,url
6432,"[{'choice': 'Crow', 'pct': '46.6', 'party': 'Dem'}, {'choice': 'Coffman', 'pct': '37.9', 'party': 'Rep'}]",10/14/18,6,10/17/18,,FALSE,90250,,Siena College/New York Times,lv,506,District 6,10/13/18,Colorado,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-co06-3.html
6434,"[{'choice': 'Sherrill', 'pct': '48.81', 'party': 'Dem'}, {'choice': 'Webber', 'pct': '38.38', 'party': 'Rep'}]",10/14/18,11,10/17/18,,FALSE,90252,,Siena College/New York Times,lv,487,District 11,10/13/18,New Jersey,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-nj11-3.html
6436,"[{'choice': 'Ortiz Jones', 'pct': '37.6', 'party': 'Dem'}, {'choice': 'Hurd', 'pct': '53.05', 'party': 'Rep'}]",10/14/18,23,10/18/18,,FALSE,90254,,Siena College/New York Times,lv,488,District 23,10/13/18,Texas,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-tx23-3.html
6468,"[{'choice': 'Wild', 'pct': '48.7', 'party': 'Dem'}, {'choice': 'Nothstein', 'pct': '37.6', 'party': 'Rep'}, {'choice': 'Silfies', 'pct': '2.3', 'party': 'Lib'}]",10/15/18,7,10/28/18,,FALSE,90294,,DeSales University,lv,809,District 7,9/28/18,Pennsylvania,All polls,FALSE,house,http://www.wfmz.com/news/lehigh-valley/democrats-still-ahead-in-final-poll/832607237
6473,"[{'choice': 'Davids', 'pct': '47.65', 'party': 'Dem'}, {'choice': 'Yoder', 'pct': '38.62', 'party': 'Rep'}]",10/15/18,3,10/17/18,,FALSE,90299,,Siena College/New York Times,lv,503,District 3,10/14/18,Kansas,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ks03-3.html
6516,"[{'choice': 'Ojeda', 'pct': '41.3', 'party': 'Dem'}, {'choice': 'Miller', 'pct': '45.94', 'party': 'Rep'}]",10/16/18,3,10/18/18,,FALSE,90347,,Siena College/New York Times,lv,490,District 3,10/14/18,West Virginia,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-wv03-3.html
6518,"[{'choice': 'Shalala', 'pct': '44.06', 'party': 'Dem'}, {'choice': 'Salazar', 'pct': '36.85', 'party': 'Rep'}]",10/16/18,27,10/19/18,,FALSE,90349,,Siena College/New York Times,lv,542,District 27,10/15/18,Florida,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-fl27-3.html
6520,"[{'choice': 'Golden', 'pct': '41.17', 'party': 'Dem'}, {'choice': 'Poliquin', 'pct': '41.06', 'party': 'Rep'}]",10/16/18,2,10/18/18,,FALSE,90351,,Siena College/New York Times,lv,501,District 2,10/15/18,Maine,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-me02-3.html
6522,"[{'choice': 'Long', 'pct': '40.62', 'party': 'Dem'}, {'choice': 'Herrera Beutler', 'pct': '47.58', 'party': 'Rep'}]",10/16/18,3,10/19/18,,FALSE,90353,,Siena College/New York Times,lv,497,District 3,10/14/18,Washington,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-wa03-3.html
6560,"[{'choice': 'Sinema', 'pct': '45.86', 'party': 'Dem'}, {'choice': 'McSally', 'pct': '47.65', 'party': 'Rep'}]",10/17/18,,10/19/18,,FALSE,90409,,Siena College/New York Times,lv,606,Class I,10/15/18,Arizona,All polls,FALSE,senate,https://www.nytimes.com/interactive/2018/upshot/elections-poll-azsen-3.html
6567,"[{'choice': 'Gillum', 'pct': '47.0', 'party': 'Dem'}, {'choice': 'DeSantis', 'pct': '45.9', 'party': 'Rep'}, {'choice': 'Richardson', 'pct': '2.1', 'party': 'Ref'}]",10/17/18,,10/16/18,B-,FALSE,90416,,St. Pete Polls,lv,1974,,10/15/18,Florida,All polls,FALSE,governor,http://stpetepolls.org/files/StPetePolls_2018_State_GEN_GovSenate_October16_H72F.pdf
6571,"[{'choice': 'Nelson', 'pct': '47.2', 'party': 'Dem'}, {'choice': 'Scott', 'pct': '48.6', 'party': 'Rep'}]",10/17/18,,10/16/18,B-,FALSE,90420,,St. Pete Polls,lv,1974,Class I,10/15/18,Florida,All polls,FALSE,senate,http://stpetepolls.org/files/StPetePolls_2018_State_GEN_GovSenate_October16_H72F.pdf
6584,"[{'choice': 'Menendez', 'pct': '51.0', 'party': 'Dem'}, {'choice': 'Hugin', 'pct': '44.0', 'party': 'Rep'}]",10/17/18,,10/16/18,A-,FALSE,90435,,Quinnipiac University,lv,873,Class I,10/10/18,New Jersey,All polls,FALSE,senate,https://poll.qu.edu/images/polling/nj/nj10172018_nrpv59.pdf/
6587,"[{'choice': 'Donnelly', 'pct': '44.0', 'party': 'Dem'}, {'choice': 'Braun', 'pct': '40.0', 'party': 'Rep'}, {'choice': 'Brenton', 'pct': '7.0', 'party': 'Lib'}]",10/17/18,,10/16/18,C+,FALSE,90438,,Gravis Marketing,lv,377,Class I,10/12/18,Indiana,All polls,FALSE,senate,https://www.realclearpolitics.com/docs/Gravis_Indiana_October_16_2018.pdf
6603,"[{'choice': 'Galvin', 'pct': '44.0', 'party': 'Dem'}, {'choice': 'Young', 'pct': '48.0', 'party': 'Rep'}]",10/17/18,1,10/16/18,B+,FALSE,90462,DEM,Lake Research Partners,lv,500,District 1,10/13/18,Alaska,All polls,FALSE,house,https://www.politico.com/f/?id=00000166-84aa-d2ba-a176-a5ae9a9c0001
6620,"[{'choice': 'Cuomo', 'pct': '58.0', 'party': 'Dem'}, {'choice': 'Molinaro', 'pct': '35.0', 'party': 'Rep'}]",10/18/18,,10/16/18,A-,FALSE,90481,,Quinnipiac University,lv,852,,10/10/18,New York,All polls,FALSE,governor,https://poll.qu.edu/images/polling/ny/ny10182018_nabf28.pdf/
6621,"[{'choice': 'Gillibrand', 'pct': '58.0', 'party': 'Dem'}, {'choice': 'Farley', 'pct': '33.0', 'party': 'Rep'}]",10/18/18,,10/16/18,A-,FALSE,90482,,Quinnipiac University,lv,852,Class I,10/10/18,New York,All polls,FALSE,senate,https://poll.qu.edu/images/polling/ny/ny10182018_nabf28.pdf/
6628,"[{'choice': 'Porter', 'pct': '46.0', 'party': 'Dem'}, {'choice': 'Walters', 'pct': '50.0', 'party': 'Rep'}]",10/18/18,45,10/17/18,B,FALSE,90489,REP,Public Opinion Strategies,lv,400,District 45,10/14/18,California,All polls,FALSE,house,https://www.mimiwalters.com/wp-content/uploads/2018/10/CA-CD45-Poll-Memo-10.18.pdf
6635,"[{'choice': 'Carlson', 'pct': '42.84', 'party': 'Dem'}, {'choice': 'Spano', 'pct': '43.49', 'party': 'Rep'}]",10/18/18,15,10/19/18,,FALSE,90499,,Siena College/New York Times,lv,499,District 15,10/16/18,Florida,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-fl15-3.html
6637,"[{'choice': 'Cartwright', 'pct': '52.38', 'party': 'Dem'}, {'choice': 'Chrin', 'pct': '39.78', 'party': 'Rep'}]",10/18/18,8,10/19/18,,FALSE,90501,,Siena College/New York Times,lv,506,District 8,10/16/18,Pennsylvania,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-pa08-3.html
6639,"[{'choice': 'Cockburn', 'pct': '45.62', 'party': 'Dem'}, {'choice': 'Riggleman', 'pct': '44.59', 'party': 'Rep'}]",10/18/18,5,10/22/18,,FALSE,90503,,Siena College/New York Times,lv,501,District 5,10/16/18,Virginia,All polls,FALSE,house,https://www.nytimes.com/interactive/2018/upshot/elections-poll-va05-3.html
6644,"[{'choice': 'Stevens', 'pct': '48.0', 'party': 'Dem'}, {'choice': 'Epstein', 'pct': '48.0', 'party': 'Rep'}, {'choice': 'Schwartz', 'pct': '1.0', 'party': 'Lib'}, {'choice': 'Nye', 'pct': '1.0', 'party': 'Ind'}]",10/19/18,11,10/17/18,C,FALSE,90508,,Target Insyght,lv,500,District 11,10/15/18,Michigan,All polls,FALSE,house,https://projects.fivethirtyeight.com/polls/20181019_MI_11.pdf
6645,"[{'choice': 'Slotkin', 'pct': '45.0', 'party': 'Dem'}, {'choice': 'Bishop', 'pct': '48.0', 'party': 'Rep'}, {'choice': 'Ellison', 'pct': '2.0', 'party': 'Lib'}, {'choice': 'Lillis', 'pct': '1.0', 'party': 'Ust'}]",10/19/18,8,10/17/18,C,FALSE,90509,,Target Insyght,lv,500,District 8,10/15/18,Michigan,All polls,FALSE,house,https://projects.fivethirtyeight.com/polls/20181019_MI_8.pdf
6646,"[{'choice': 'Ringelstein', 'pct': '7.0', 'party': 'Dem'}, {'choice': 'Brakey', 'pct': '27.0', 'party': 'Rep'}, {'choice': 'King', 'pct': '41.0', 'party': 'Ind'}]",10/19/18,,10/16/18,C,FALSE,90510,REP,Critical Insights,lv,600,Class I,10/8/18,Maine,All polls,FALSE,senate,https://projects.fivethirtyeight.com/polls/20181019_ME.pdf
6648,"[{'choice': 'Wild', 'pct': '48.0', 'party': 'Dem'}, {'choice': 'Nothstein', 'pct': '41.0', 'party': 'Rep'}, {'choice': 'Silfies', 'pct': '5.0', 'party': 'Lib'}]",10/19/18,7,10/18/18,A,FALSE,90512,,Muhlenberg College,lv,411,District 7,10/14/18,Pennsylvania,All polls,FALSE,house,https://www.muhlenberg.edu/media/contentassets/pdf/academics/polisci/7thDist_Results_OCT2018.pdf
6649,"[{'choice': 'Sinema', 'pct': '46.54', 'party': 'Dem'}, {'choice': 'McSally', 'pct': '41.11', 'party': 'Rep'}, {'choice': 'Green', 'pct': '2.93', 'party': 'Gre'}]",10/19/18,,10/17/18,B+,FALSE,90513,,Data Orbital,lv,600,Class I,10/16/18,Arizona,All polls,FALSE,senate,https://www.dataorbital.com/the-blog/new-survey-sinema-leads-mcsally-in-latest-survey
6650,"[{'choice': 'Sinema', 'pct': '47.94', 'party': 'Dem'}, {'choice': 'McSally', 'pct': '39.78', 'party': 'Rep'}, {'choice': 'Green', 'pct': '2.92', 'party': 'Gre'}]",10/19/18,,10/17/18,B+,FALSE,90514,,Data Orbital,lv,600,Class I,10/16/18,Arizona,All polls,FALSE,senate,https://www.dataorbital.com/the-blog/new-survey-sinema-leads-mcsally-in-latest-survey
6651,"[{'choice': 'Rosen', 'pct': '48.0', 'party': 'Dem'}, {'choice': 'Heller', 'pct': '46.0', 'party': 'Rep'}]",10/19/18,,10/16/18,B,FALSE,90515,DEM,Public Policy Polling,v,648,Class I,10/15/18,Nevada,All polls,FALSE,senate,http://www.protectourcare.org/wp-content/uploads/2018/10/NevadaResults1.pdf
6652,"[{'choice': 'Kelly', 'pct': '39.0', 'party': 'Dem'}, {'choice': 'Sununu', 'pct': '50.0', 'party': 'Rep'}, {'choice': 'Jarvis', 'pct': '4.0', 'party': 'Lib'}]",10/19/18,,10/18/18,B,FALSE,90516,,University of New Hampshire,lv,499,,10/10/18,New Hampshire,All polls,FALSE,governor,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2018_fall_govrace101918.pdf
