,location,year,type_simple,type_detail,cand1_name,cand2_name,electiondate,cand1_actual,cand2_actual
0,VT,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,40.2554663300339,55.1872215756311
1,AL,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,40.38726695739505,59.45938244545644
2,OK,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,42.22684878854672,54.33135112126334
3,WY,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,27.536681132465386,67.11933791908994
4,OH,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,46.68266667148277,50.38662790303916
5,NM,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,57.199059815437806,42.800940184562194
6,MD,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,43.50764934181293,55.354192123972446
7,CO,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,53.41999523180024,42.80294899689592
8,ID,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,38.18693803490484,59.76573667519926
9,NE,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,40.999540102094464,59.000459897905536
10,OR,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,50.053535169044196,43.65234652224937
11,PA,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,57.76798459069277,40.69545371571983
12,AR,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,31.7683837179434,65.32811222320807
13,TX,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,42.507811223735814,55.806649604965244
14,RI,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,52.6358856644908,37.176309308423725
15,NH,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,45.738857256425185,52.78294008737766
16,AZ,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,41.841602631834746,56.00235814817199
17,IA,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,47.52696141568711,50.26031192237643
18,IL,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,54.527991007237354,38.82770842216113
19,SD,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,47.596502502844814,50.974311201778235
20,GA,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,48.83181715836056,50.22093415535173
21,NY,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,59.55203041964119,36.16365496995074
22,NV,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,49.393650333042125,45.309781137869045
23,MI,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,53.31484960305464,43.7477194315606
24,CT,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,49.367964100161856,46.213862210984765
25,ME,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,50.892467815820396,43.17825413411515
26,MA,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,33.117663663742256,66.60177259156926
27,TN,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,38.553261409338226,59.56000417243571
28,KS,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,48.00760146342388,42.938790210983264
29,HI,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,62.66813016991477,33.70125600304982
30,CA,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,61.94852712581237,38.051472874187624
31,SC,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,45.923883602946646,53.95635549720099
32,MN,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,53.8438913039025,42.426874173603466
33,WI,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,49.538137767889076,48.44484810579252
34,AK,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,44.40971412829261,51.43536276109545
35,FL,2018,Gov-G,Gov-G,Democrat,Republican,11/6/2018,49.19035331043708,49.58525336652815
