,location,year,type_simple,type_detail,cand1_name,cand2_name,electiondate,cand1_actual,cand2_actual
0,AZ,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,49.9557943017429,47.61129854028926
1,CA,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,54.1638157447196,45.8361842552804
2,CT,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,56.79710709238268,39.349672637074214
3,DE,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,59.953060188862416,37.81853984643897
4,FL,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,49.93247256869807,50.05497554641297
5,HI,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,71.15109784705074,28.848902152949265
6,IN,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,44.8422279321728,50.7323997345092
7,MA,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,60.33678230129031,36.17205190813752
8,MD,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,64.85591261143473,30.306549576957842
9,ME,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,10.445627347657425,54.31433034525046
10,MI,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,52.261892147091835,45.7562898384361
11,MN,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,26.436687380105262,21.136715445962615
12,MO,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,45.56934089290825,51.38323105905977
13,MS,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,22.82342527916486,26.400271612531274
14,MT,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,50.333872604999364,46.78241181322168
15,ND,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,44.268377190023855,55.105507484561755
16,NE,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,38.621199828869784,57.6850488565325
17,NJ,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,54.007149821254465,42.828091919061244
18,NM,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,54.0877345009842,30.532185959495678
19,NV,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,50.411981088987915,45.38498886982426
20,NY,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,62.02139302554139,28.57796609861587
21,OH,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,53.41141418368777,46.56564264238257
22,PA,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,55.61318396530043,42.7427545872648
23,RI,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,61.4424347955343,38.33459858044583
24,TN,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,43.91997290238619,54.70700705072781
25,TX,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,48.32535502239402,50.8926012837366
26,UT,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,30.91146874661875,62.58814784846333
27,VA,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,57.00260758799453,41.00746171792874
28,VT,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,67.31945830154352,27.38680380304008
29,WA,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,58.433759924929554,41.566240075070446
30,WI,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,55.41768676154819,44.5807330084832
31,WV,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,49.54581402649804,46.297290667014344
32,WY,2018,Sen-G,Sen-G,Democrat,Republican,11/6/2018,30.09881034313244,66.95998426900009
