Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20181106,General,VT,151261," Scott, Phil",Incumbent,110335,"Hallquist, Christine",Challenger,Independent,3266,"Barlow, Trevor",Challenger,9225,40926,R,1,58,42,"The other vote was: Laramie, Charles (Independent) 2,287; Ericson, Cris (Independent) 2,129; Marx, Stephen (Earth Rights) 1,855; Peyton, Emily (Liberty Union) 1,839; Write-In (Write-in) 1,115"
Governor,N/A,20181106,General,AL,1022457,"Ivey, Kay",Challenger,694495,"Maddox, Walter",Challenger,Write-in,2637,Write-In,Challenger,0,327962,R,0,60,40,
Governor,N/A,20181106,General,OK,644579,"Stitt, Kevin",Challenger,500973,"Edmondson, Drew",Challenger,Libertarian,40833,"Powell, Chris",Challenger,0,143606,R,3,56,44,
Governor,N/A,20181106,General,WY,136412,"Gordon, Mark",Challenger,55965,"Throne, Mary A.",Challenger,Centrist,6751,"Rammell, Rex",Challenger,4110,80447,R,3,71,29,"The other vote was: Struempf, Lawrence Gerard (Libertarian) 3,010; Write-Ins (Write-in) 1,100"
Governor,N/A,20181106,General,OH,2231917,"DeWine, Michael",Challenger,2067847,"Cordray, Richard",Challenger,Libertarian,79985,"Irvine, Travis",Challenger,49833,164070,R,2,52,48,"The other vote was:  Gadell-Newton, Constance (Green) 49,475; Turner, Renea (Write-in) 185; Duncan, Richard (Write-in) 132; Ayres, Rebecca (Write-in) 41"
Governor,N/A,20181106,General,NM,298091,"Pearce, Steve",Challenger,398368,"Grisham, Michelle Lujan",Challenger,N/A,0,N/A,N/A,0,100277,D,0,43,57,
Governor,N/A,20181106,General,MD,1275644,"Hogan, Larry",Incumbent,1002639,"Jealous, Ben",Challenger,Libertarian,13241,"Quinn, Shawn",Challenger,12988,273005,R,1,56,44,"The other vote was: Schlakman, Ian Andrew (Green) 11,175; Other Write-Ins (Write-in) 1,813"
Governor,N/A,20181106,General,CO,1080801," Stapleton, Walker",Challenger,1348888,"Polis, Jared",Challenger,Libertarian,69519,"Helker, Scott",Challenger,25854,268087,D,3,44,56,"The other vote was: Hammons, Bill (Unity Party of Colorado) 25,854"
Governor,N/A,20181106,General,ID,361661,"Little, Brad",Challenger,231081,"Jordan, Paulette",Challenger,Libertarian,6551,"Boeck, Bev",Challenger,5838,130580,R,1,61,39,"The other vote was: Bayes, Walter (Constitution) 5,787; Marie, Lisa (Write-in) 51"
Governor,N/A,20181106,General,NE,411812,"Ricketts, Pete",Incumbent,286169,"Krist, Bob",Challenger,N/A,0,N/A,N/A,0,125643,R,0,59,41,
Governor,N/A,20181106,General,OR,814988,"Buehler, Knute",Challenger,934498,"Brown, Kate",Incumbent,Independent,53392,"Starnes, Patrick",Challenger,64119,119510,D,3,47,53,"The other vote was: Chen, Nick (Libertarian) 28,927; Auer, Aaron (Constitution) 21,145; Henry, Chris (Progressive) 11,013; Write-In (Write-in) 3,034"
Governor,N/A,20181106,General,PA,2039882,"Wagner, Scott",Challenger,2895652,"Wolf, Thomas W.",Incumbent,Libertarian,49229,"Krawchuk, Ken",Challenger,27792,855770,D,1,41,59,"The other vote was: Glover, Paul (Green) 27,792"
