,location,year,type_simple,type_detail,cand1_name,cand2_name,electiondate,cand1_actual,cand2_actual
0,AK-0,2018,House-G,House-G,Democrat,Republican,11/6/2018,46.49709745327218,53.08187379060553
1,AL-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,36.77648309887601,63.15633282086581
2,AL-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,38.425938204482165,61.3884100251956
3,AL-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,36.218442101632064,63.717310221417335
4,AL-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,20.129108235304304,79.77477496980114
5,AL-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,38.894707161846455,61.02012866695055
6,AL-6,2018,House-G,House-G,Democrat,Republican,11/6/2018,30.770889023023194,69.17809203529649
7,AL-7,2018,House-G,House-G,Democrat,Republican,11/6/2018,97.80453894260506,0
8,AR-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,28.774379487689135,68.9492906656066
9,AR-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,45.82111870839958,52.12998070648207
10,AR-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,32.62925104915806,64.74175910286102
11,AR-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,31.22815922534799,66.73759834449369
12,AZ-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,53.83161273107871,46.14395935194615
13,AZ-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,54.73360711468901,45.24293562511899
14,AZ-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,63.86546195924643,36.13453804075357
15,AZ-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,30.50914144422185,68.16539426426263
16,AZ-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,40.57540950093272,59.424590499067286
17,AZ-6,2018,House-G,House-G,Democrat,Republican,11/6/2018,44.80696463807663,55.19303536192337
18,AZ-7,2018,House-G,House-G,Democrat,Republican,11/6/2018,85.60631877077796,0
19,AZ-8,2018,House-G,House-G,Democrat,Republican,11/6/2018,44.533978062985966,55.46175147905669
20,AZ-9,2018,House-G,House-G,Democrat,Republican,11/6/2018,61.08557101571323,38.91442898428678
21,CA-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,45.11341111271151,54.88658888728849
22,CA-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,77.00795483705414,22.992045162945857
23,CA-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,58.072946941025016,41.92705305897499
24,CA-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,45.86853522929424,54.13146477070576
25,CA-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,78.8681240374227,0
26,CA-6,2018,House-G,House-G,Democrat,Republican,11/6/2018,19.574227860888683,0
27,CA-7,2018,House-G,House-G,Democrat,Republican,11/6/2018,55.0449724270907,44.95502757290931
28,CA-8,2018,House-G,House-G,Democrat,Republican,11/6/2018,0,40.0327897649091
29,CA-9,2018,House-G,House-G,Democrat,Republican,11/6/2018,56.49148498478306,43.50851501521695
30,CA-10,2018,House-G,House-G,Democrat,Republican,11/6/2018,52.25101397025688,47.74898602974313
31,CA-11,2018,House-G,House-G,Democrat,Republican,11/6/2018,74.1324211679441,25.867578832055894
32,CA-12,2018,House-G,House-G,Democrat,Republican,11/6/2018,86.82318211636473,13.176817883635264
33,CA-13,2018,House-G,House-G,Democrat,Republican,11/6/2018,88.38103765809583,0
